Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__Bile Acid Metabolism,0.5807169863102334,1.9787261707467994,0.0,0.0,0.0,31/81,13.16%,AKR1D1;CYP39A1;CAT;APOA1;NR1H4;TTR;ALDH8A1;BCAR3;SERPINA6;ISOC1;IDH1;PECR;PFKM;FADS1;PIPOX;PEX13;DHCR24;ACSL5;ALDH1A1;GCLM;PHYH;CYP27A1;PEX12;PRDX5;SLC23A2;RETSAT;ACSL1;AMACR;ALDH9A1;SLC29A1;IDI1
prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.4958987509817693,1.7943944567596044,0.0,0.007165034631000717,0.012,42/139,14.79%,CFB;ICAM1;MT2A;APOL6;CD38;UBE2L6;IFITM3;OAS3;SERPING1;CXCL10;TNFAIP3;HLA-A;HLA-B;SOCS3;CFH;ISOC1;MTHFD2;NFKBIA;USP18;WARS1;B2M;SOD2;MX2;TRAFD1;NAMPT;PELI1;MX1;PLA2G4A;STAT1;C1S;CASP3;LATS2;CASP8;TRIM26;CASP7;PSMA2;STAT3;SPPL2A;NMI;IL4R;SOCS1;JAK2
prerank,MSigDB_Hallmark_2020__Epithelial Mesenchymal Transition,-0.4990913999611976,-1.7495470912141997,0.0,0.015482539136418371,0.018,42/141,6.91%,FBN1;NID2;LUM;TIMP1;DKK1;COL4A1;GADD45B;GPC1;COL1A1;CDH6;COL4A2;FBN2;PRRX1;COL16A1;IGFBP3;SERPINE1;MMP14;FSTL3;SLC6A8;CCN1;LOXL2;FLNA;DAB2;TPM4;SPP1;NOTCH2;SLIT2;TNFRSF12A;THBS1;GJA1;MATN3;MEST;SGCB;LGALS1;TGFBI;FUCA1;TGFB1;PMP22;QSOX1;PVR;FZD8;PLAUR
prerank,MSigDB_Hallmark_2020__Coagulation,0.4705923816578261,1.654813337225931,0.0,0.01791258657750179,0.044,31/99,6.57%,CFB;MEP1A;CPN1;C3;SERPINA1;A2M;ACOX2;APOA1;SERPING1;SERPINC1;CPB2;TFPI2;C8A;LRP1;TIMP3;CFH;FGA;APOC3;ANXA1;F2;PECAM1;DPP4;TF;MST1;PLAU;F3;CAPN2;SPARC;DUSP6;CFI;APOC1
prerank,MSigDB_Hallmark_2020__Xenobiotic Metabolism,0.43992268065550894,1.6501091142005408,0.0,0.014330069262001434,0.047,44/161,12.44%,CES1;FABP1;CFB;MT2A;VTN;HMOX1;ACOX2;RBP4;CAT;GCNT2;CYP2J2;SLC35D1;MAN1A1;SERPINA6;LPIN2;CDO1;ALDH2;IDH1;AKR1C2;TMEM97;ATP2A2;ADH5;TKFC;APOE;DDC;ALAS1;BLVRB;ABCC2;F11;CYP1A1;ASL;ARPP19;CYP27A1;PROS1;MCCC2;ARG1;AP4B1;RETSAT;HNF4A;ACOX1;ACP1;MPP2;ALDH9A1;TPST1
prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.519980962818213,1.6320298189531475,0.004424778761061947,0.013613565798901361,0.056,17/55,9.92%,CD38;OSMR;A2M;CSF1;HMOX1;CXCL1;CXCL3;CXCL10;IL17RB;SOCS3;CD44;ACVR1B;MAP3K8;EBI3;GRB2;STAT1;PTPN11
prerank,MSigDB_Hallmark_2020__Myogenesis,-0.45379488518131855,-1.5640060110333105,0.003472222222222222,0.07956304833992775,0.171,31/116,10.17%,NQO1;GADD45B;SOD3;COL1A1;COL4A2;SMTN;IGFBP3;SLC6A8;MYH9;AGRN;PDLIM7;PLXNB2;ENO3;SCHIP1;PPP1R3C;SCD;FDPS;ADCY9;TGFB1;HSPB8;APP;KLF5;CRAT;CACNA1H;BHLHE40;SPTAN1;PRNP;AGL;TSC2;PSEN2;CFD
prerank,MSigDB_Hallmark_2020__Unfolded Protein Response,0.4248365490235434,1.5224032509123684,0.009779951100244499,0.038810604251253884,0.179,37/108,20.25%,STC2;PSAT1;CEBPB;IMP3;KIF5B;HSP90B1;XPOT;ERO1A;MTHFD2;RRP9;PDIA6;PDIA5;EIF4EBP1;EDEM1;FKBP14;SLC1A4;DDIT4;HSPA9;TATDN2;ASNS;TSPYL2;YIF1A;BANF1;DNAJB9;SEC11A;EXOSC4;NPM1;CHAC1;HSPA5;ATF4;CALR;LSM1;HYOU1;ERN1;EXOSC1;NOLC1;CEBPG
prerank,MSigDB_Hallmark_2020__Apical Junction,-0.4290615949509769,-1.5154986746309185,0.0017482517482517483,0.09174838006766443,0.267,40/144,14.20%,FBN1;FLNC;LAYN;CDH6;GRB7;CRB3;COL16A1;FSCN1;RAC2;MYH9;VASP;SLIT2;NF2;CLDN6;LDLRAP1;MDK;GAMT;SDC3;TGFBI;RHOF;PKD1;ADAM9;INSIG1;CRAT;VCL;CD99;ZYX;HADH;PTEN;ADAM15;RRAS;EGFR;CLDN7;NECTIN1;PPP2R2C;ACTN4;MVD;TAOK2;PARVA;ACTG1
prerank,MSigDB_Hallmark_2020__KRAS Signaling Up,0.41822289498690235,1.5112939915430545,0.002421307506053269,0.03787232590671807,0.197,34/128,9.70%,RELN;SERPINA3;CFB;CCL20;HDAC9;SLPI;RBP4;CPE;NR1H4;BIRC3;CXCL10;TNFAIP3;MPZL2;CFH;PECAM1;MYCN;USP12;GABRA3;ST6GAL1;ERO1A;PLAU;TFPI;TMEM176A;TMEM158;DUSP6;BTBD3;AKAP12;KIF5C;PTBP2;SOX9;ARG1;TRIB1;CBR4;ADAM17
prerank,MSigDB_Hallmark_2020__Mitotic Spindle,-0.41192856104454534,-1.5080063285317846,0.0032414910858995136,0.07354206089798727,0.282,51/192,14.26%,FSCN1;NEK2;FLNA;NCK2;CLIP2;PCGF5;MYH9;NOTCH2;MID1IP1;MID1;ARHGAP5;NEDD9;KIF22;FARP1;UXT;LLGL1;ARHGDIA;SPTBN1;ARAP3;RHOF;ARFGEF1;CDK1;FGD4;VCL;KIFAP3;SPTAN1;TUBA4A;TBCD;FBXO5;DLGAP5;FLNB;PLK1;CNTROB;SYNPO;CDC42EP1;MARK4;RAPGEF6;ANLN;RHOT2;TPX2;ACTN4;BCR;SMC1A;STK38L;TTK;TAOK2;ATG4B;KIF4A;CYTH2;RASAL2;CENPF
prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.4132775272422059,1.4673914278870117,0.020134228187919462,0.04911034153331741,0.275,27/115,8.66%,CXCL6;MEP1A;ICAM1;CCL20;OSMR;CSF1;CXCL10;CXCL8;IRAK2;CD55;CX3CL1;SPHK1;ICOSLG;ITGB8;ACVR1B;NFKBIA;F3;ATP2A2;SLC11A2;EDN1;MYC;EBI3;ABI1;NAMPT;RAF1;KLF6;ITGA5
prerank,MSigDB_Hallmark_2020__Pancreas Beta Cells,0.5815250418608752,1.4569855812403436,0.06431535269709543,0.04829764084600483,0.303,5/19,4.44%,SCGN;DPP4;PAX6;PDX1;SRP14
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.4306260283515309,1.4367780113236424,0.018604651162790697,0.05254358729400525,0.358,19/73,14.13%,CSF1;UBE2L6;IFITM3;CXCL10;GBP2;LPAR6;CD47;USP18;WARS1;B2M;TRAFD1;CNP;MX1;C1S;OAS1;CASP8;TRIM26;NMI;IL4R
prerank,MSigDB_Hallmark_2020__TGF-beta Signaling,-0.4683669732928533,-1.4105738774006056,0.0427807486631016,0.1360743161878548,0.524,12/48,7.52%,JUNB;BMP2;SERPINE1;ID3;THBS1;SPTBN1;ID1;SMAD7;TGFB1;SMAD3;ACVR1;SMURF1
prerank,MSigDB_Hallmark_2020__mTORC1 Signaling,0.35734084880221617,1.3920305767218877,0.010723860589812333,0.06904487917146145,0.469,51/192,13.76%,PGM1;NIBAN1;SLC7A11;CTSC;SORD;PSAT1;CTH;CDC25A;NUPR1;HSP90B1;IDH1;ERO1A;PSMG1;MTHFD2;MLLT11;AK4;WARS1;PSMA4;RRP9;TMEM97;ATP2A2;TUBG1;FADS1;PHGDH;EDEM1;DHCR24;DHFR;PFKL;NAMPT;EPRS1;RRM2;PSMC4;UNG;ACLY;SLC1A4;QDPR;DDIT4;SERPINH1;HSPA9;ASNS;ETF1;PSMD14;PSME3;ACSL3;ACTR2;NMT1;IDI1;USO1;PPIA;GPI;SHMT2
prerank,MSigDB_Hallmark_2020__Estrogen Response Early,-0.39342267251309526,-1.3889512292910622,0.026936026936026935,0.13962956591547682,0.612,35/154,11.99%,KRT19;INHBB;GFRA1;UGCG;LAD1;SFN;RHOD;SLC1A1;HES1;WWC1;KRT8;FARP1;GJA1;TFF1;MYOF;PRSS23;KRT18;ESRP2;CCND1;ADCY9;RHOBTB3;AQP3;HSPB8;BHLHE40;FKBP4;FHL2;DLC1;ARL3;FLNB;KDM4B;MYBL1;CLDN7;ELF1;SLC7A5;CELSR2
prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.36449631694736,1.3742549767604313,0.014925373134328358,0.07374014807738238,0.514,34/161,7.28%,CXCL6;ICAM1;CCL20;CSF1;DRAM1;FJX1;CXCL1;CXCL3;BIRC3;CXCL10;TNFAIP3;CEBPB;SOCS3;SPHK1;ICOSLG;SGK1;PLPP3;CD44;PLAU;NFKBIA;SDC4;EIF1;PNRC1;F3;ZC3H12A;SOD2;B4GALT1;MAP3K8;CXCL2;EDN1;MYC;CEBPD;TNIP1;NAMPT
prerank,MSigDB_Hallmark_2020__Apical Surface,-0.5102278071262301,-1.3607587164645147,0.09892086330935251,0.15482539136418372,0.697,8/27,6.91%,AFAP1L2;RTN4RL1;GSTM3;PCSK9;HSPB1;APP;ADIPOR2;PLAUR
prerank,MSigDB_Hallmark_2020__Angiogenesis,-0.4927150366845048,-1.307873404371113,0.13001912045889102,0.209014278341648,0.847,10/27,8.01%,LUM;TIMP1;S100A4;JAG1;SPP1;PDGFA;SLCO2A1;APP;NRP1;TNFRSF21
prerank,MSigDB_Hallmark_2020__Wnt-beta Catenin Signaling,-0.46736213582495856,-1.2937380160081184,0.125,0.20643385515224497,0.876,6/32,10.87%,DKK1;JAG1;RBPJ;FZD8;PSEN2;AXIN1
prerank,MSigDB_Hallmark_2020__UV Response Dn,-0.3635745959176552,-1.273618015155549,0.06091370558375635,0.2152933081025288,0.915,27/132,10.06%,AMPH;COL1A1;LPAR1;SERPINE1;CCN1;DAB2;NOTCH2;ADORA2B;DUSP1;GJA1;SCHIP1;ID1;SMAD7;ZMIZ1;INSIG1;NR3C1;PMP22;BHLHE40;SMAD3;FHL2;DLC1;NRP1;PTEN;LDLR;GRK5;CDKN1B;ABCC1
prerank,MSigDB_Hallmark_2020__Complement,0.34083109231331415,1.2475004758732557,0.07012987012987013,0.17820727159155628,0.84,19/150,2.95%,CP;CFB;C3;SERPINA1;CTSC;CXCL1;SERPING1;PLA2G7;TNFAIP3;SERPINC1;CEBPB;LGALS3;TFPI2;LRP1;CD55;CFH;F2;DPP4;F5
prerank,MSigDB_Hallmark_2020__Apoptosis,-0.3543954486520756,-1.2425420943637908,0.08469055374592833,0.24912812974055018,0.951,20/137,5.71%,EMP1;LUM;TIMP1;GADD45B;TIMP2;BMP2;CDC25B;NEDD9;IL18;EREG;TNFRSF12A;IER3;GSTM1;KRT18;H1-0;SMAD7;LMNA;CCND1;HSPB1;APP
prerank,MSigDB_Hallmark_2020__Myc Targets V2,0.3876403679817233,1.2370652482489928,0.13272311212814644,0.17929646183766076,0.875,19/56,20.15%,SORD;SLC19A1;RRP9;TMEM97;SLC29A2;MYC;CBX3;UNG;PUS1;PLK4;WDR43;DDX18;UTP20;NPM1;MPHOSPH10;CDK4;AIMP2;PA2G4;NOLC1
prerank,MSigDB_Hallmark_2020__KRAS Signaling Dn,0.3552502851860638,1.2357799420979443,0.11600928074245939,0.16869675981211688,0.876,12/84,5.52%,SLC6A14;CYP39A1;SELENOP;COL2A1;ZBTB16;NR6A1;SERPINA10;PTPRJ;EGF;SGK1;SPTBN2;EDN1
prerank,MSigDB_Hallmark_2020__Glycolysis,-0.33843243297038617,-1.222710925182712,0.088379705400982,0.2604077068639257,0.971,39/172,14.37%,IRS2;CXCR4;GPC1;PYGB;PHKA2;IGFBP3;AGRN;ADORA2B;IL13RA1;GNE;SDC3;IER3;TGFBI;SLC16A3;G6PD;CDK1;QSOX1;CACNA1H;PKP2;CYB5A;FKBP4;KIF20A;GALE;ANGPTL4;AGL;PMM2;ENO1;EGFR;GOT2;PRPS1;EXT2;TPI1;LDHA;POLR3K;TPBG;GPC4;PPP2CB;HS6ST2;KDELR3
prerank,MSigDB_Hallmark_2020__Estrogen Response Late,0.32856170023976494,1.2136129293926143,0.09558823529411764,0.18748507284451876,0.91,28/149,9.07%,SERPINA3;ASS1;KCNK5;SERPINA1;ACOX2;AGR2;SORD;CPE;TFPI2;IL17RB;SNX10;JAK1;SGK1;CD44;GAL;IGSF1;CDC6;MICB;PLAAT3;SLC16A1;FABP5;RAB31;BLVRB;PDCD4;SLC2A8;NRIP1;CHPT1;SLC1A4
prerank,MSigDB_Hallmark_2020__Pperoxisome,0.3483778302226305,1.1984850751491467,0.1480637813211845,0.19689796147740202,0.933,24/90,13.16%,CAT;TTR;SERPINA6;SMARCC1;ISOC1;IDH1;SOD2;FADS1;DLG4;PEX13;DHCR24;IDE;ACSL5;ALDH1A1;ALB;PRDX5;SLC23A2;ERCC3;RETSAT;ACSL1;CLN6;ACOX1;ALDH9A1;IDI1
prerank,MSigDB_Hallmark_2020__IL-2/STAT5 Signaling,0.3172214057375115,1.1812561085178226,0.12807881773399016,0.20771966138577078,0.947,37/137,12.19%,CSF1;IFITM3;CXCL10;HIPK2;SERPINC1;CKAP4;RRAGD;TGM2;NFKBIZ;NT5E;CD44;NDRG1;CDC6;ITGA6;WLS;LCLAT1;SLC29A2;MAP3K8;ENPP1;MYC;PLIN2;MAPKAPK2;LRIG1;IGF2R;KLF6;AHNAK;PTRH2;BATF3;ITGAV;ANXA4;CASP3;AMACR;UCK2;PUS1;ETV4;CDCP1;MXD1
prerank,MSigDB_Hallmark_2020__Adipogenesis,0.3115398976866051,1.1798746682944876,0.13283208020050125,0.19873543423880935,0.949,43/178,14.10%,PGM1;C3;CAT;GPHN;SORBS1;GPX3;MGLL;ENPP2;ALDH2;IDH1;SLC19A1;GPAM;RTN3;MGST3;CD302;APOE;CAVIN2;PLIN2;PFKL;PDCD4;GADD45A;PHYH;ACLY;CPT2;UCP2;CCNG2;ECHS1;RMDN3;QDPR;ORM1;ATL2;RETSAT;SCARB1;VEGFB;ACOX1;SQOR;COX6A1;CMBL;NMT1;DNAJB9;UQCRC1;SUCLG1;IDH3A
prerank,MSigDB_Hallmark_2020__Myc Targets V1,0.3052505518834932,1.16460487814795,0.10803324099722991,0.210174349176021,0.964,59/197,18.78%,COX5A;SMARCC1;PSMA7;XPOT;SERBP1;PSMA4;RRP9;PSMD3;ABCE1;NAP1L1;U2AF1;MYC;UBA2;CBX3;EPRS1;PSMC4;IMPDH2;RPLP0;UBE2E1;SNRPD1;SYNCRIP;GLO1;RPS10;CLNS1A;ETF1;HNRNPC;PSMD14;ACP1;PSMA6;PSMA2;EXOSC7;TYMS;DDX18;PPIA;YWHAQ;SSB;SNRPG;EIF3J;USP1;CNBP;HNRNPA2B1;RPL6;EEF1B2;ERH;SRSF1;PWP1;NPM1;CAD;CDK4;RPS6;AIMP2;SRSF2;HDDC2;NDUFAB1;PRDX3;RPL14;RAN;G3BP1;PA2G4
prerank,MSigDB_Hallmark_2020__Protein Secretion,-0.350677874346121,-1.164254634403646,0.18312387791741472,0.3584141645383689,0.992,31/91,20.19%,RPS6KA3;SCAMP3;CLTA;KRT18;ARF1;ARFGEF1;COPB1;VAMP3;RAB2A;CAV2;STX12;NAPA;ABCA1;VAMP7;EGFR;SEC22B;YIPF6;AP2S1;ATP6V1H;CLN5;OCRL;SEC24D;DOP1A;RAB9A;ANP32E;AP1G1;TSG101;YKT6;SEC31A;ARFGAP3;COPE
prerank,MSigDB_Hallmark_2020__G2-M Checkpoint,-0.30737035568496396,-1.1237158835766778,0.20491803278688525,0.42177631417266714,0.998,59/193,21.06%,NEK2;CDC25B;NOTCH2;HMGN2;KIF22;CCNF;DTYMK;CDKN3;HIF1A;CDC20;CCND1;CDK1;TGFB1;CKS1B;WRN;CDKN2C;TACC3;SMAD3;AURKB;UBE2S;TFDP1;FBXO5;RBL1;CHMP1A;PLK1;CDKN1B;RAD21;CKS2;NSD2;CCNA2;E2F4;SLC7A5;TPX2;UPF1;SMC1A;NUP98;TTK;GINS2;KIF4A;RASAL2;CENPF;PRMT5;ODF2;MYBL2;LBR;KIF20B;CUL4A;KIF2C;PURA;RACGAP1;E2F1;BUB1;DDX39A;INCENP;SUV39H1;PTTG1;KIF11;CHAF1A;TNPO2
prerank,MSigDB_Hallmark_2020__Hypoxia,0.30290378297972087,1.1188207472403524,0.18393782383419688,0.26971237503838413,0.99,37/160,12.17%,CP;LOX;PGM1;MT2A;HMOX1;ERRFI1;MT1E;STC2;HOXB9;TNFAIP3;GCNT2;RRAGD;TGM2;ERO1A;NDRG1;AK4;ANXA2;SDC4;PNRC1;F3;GAA;WSB1;PLIN2;PFKL;AKAP12;VHL;KLF6;CCNG2;PRDX5;DDIT4;FOXO3;SCARB1;CITED2;JMJD6;MXI1;TPD52;PGM2
prerank,MSigDB_Hallmark_2020__Allograft Rejection,0.3177172422406959,1.1172729297336683,0.22727272727272727,0.26005818876609416,0.991,33/103,16.39%,ICAM1;GCNT1;CSF1;HDAC9;HLA-A;GBP2;CD47;ICOSLG;F2;WARS1;B2M;ABCE1;IL27RA;ABI1;EIF3A;STAT1;TPD52;BRCA1;F2R;EIF3J;IL4R;APBB1;CDKN2A;ITGAL;SOCS1;CSK;JAK2;CD8B;GALNT1;GLMN;NPM1;HLA-E;CAPG
prerank,MSigDB_Hallmark_2020__Cholesterol Homeostasis,-0.3425392189725385,-1.111256772036276,0.2673611111111111,0.42416422960032113,0.998,16/70,10.26%,CD9;ALCAM;CXCL16;JAG1;ANXA13;TNFRSF12A;PMVK;SCD;FDPS;S100A11;TRIB3;SREBF2;PLAUR;ANXA5;LDLR;CYP51A1
prerank,MSigDB_Hallmark_2020__PI3K/AKT/mTOR  Signaling,-0.3335759099772736,-1.1077092398645132,0.2573913043478261,0.40469637020471355,0.998,24/89,18.31%,CXCR4;SFN;RPS6KA3;PIN1;ARHGDIA;ARF1;CDK1;TRIB3;GNA14;AKT1S1;PTEN;TSC2;EGFR;CDKN1B;TNFRSF1A;PRKAA2;FGF17;RIT1;THEM4;PFN1;NFKBIB;PLCB1;MAPK8;E2F1
prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,0.2846092118687856,1.102559069555865,0.21393034825870647,0.27221939543722284,0.994,58/198,18.00%,SLC25A20;COX5A;PDHB;OAT;IDH1;RHOT1;ACADSB;MTRR;MRPL11;MRPS11;NDUFS1;ATP5F1C;MGST3;LRPPRC;NDUFV1;ALAS1;DLST;MPC1;ALDH6A1;PHYH;NDUFV2;ATP6V1G1;ECHS1;ISCA1;RETSAT;HSPA9;NDUFB1;ATP5F1B;COX6A1;BDH2;ACADVL;CASP7;HTRA2;NDUFC1;GPI;COX15;UQCRC1;TIMM17A;HADHB;SUCLG1;IDH3A;SDHD;ATP5PD;COX11;MTX2;NDUFB8;COX7A2L;PDK4;TIMM8B;ATP5F1E;ACADM;UQCRH;ETFA;PDHX;ATP1B1;IMMT;NDUFAB1;PRDX3
prerank,MSigDB_Hallmark_2020__heme Metabolism,-0.3051947797903024,-1.0941772959612102,0.2697594501718213,0.4095283391182036,0.999,46/159,19.88%,TAL1;ANK1;HEBP1;SLC6A8;FOXJ2;BLVRA;H1-0;DMTN;GMPS;CA2;NNT;AQP3;NR3C1;MOSPD1;ACP5;ATG4A;UROD;MINPP1;ELL2;BTG2;NCOA4;MARCHF8;KHNYN;TNS1;MPP1;CCND3;HBQ1;OSBP2;FBXO34;SLC66A2;SMOX;LRP10;BNIP3L;FBXO7;NEK7;NARF;CTNS;RAP1GAP;BPGM;FN3K;RAD23A;ADIPOR1;ARL2BP;TCEA1;RANBP10;BCAM
prerank,MSigDB_Hallmark_2020__p53 Pathway,-0.2919609736370585,-1.0623344137819897,0.30287648054145516,0.45931532771374506,0.999,23/176,5.95%,INHBB;SFN;TM4SF1;BMP2;S100A4;EPHA2;IRAK1;PDGFA;PLK3;PLXNB2;VAMP8;TSC22D1;NINJ1;ADA;IER3;EPS8L2;PTPRE;FUCA1;TGFB1;CD81;APP;PMM1;TRIB3
prerank,MSigDB_Hallmark_2020__Reactive Oxygen Species Pathway,-0.35114951238830266,-1.0528803422832138,0.354014598540146,0.45791193966336796,1.0,13/48,15.32%,NQO1;JUNB;G6PD;MBP;CDKN2D;PRNP;HMOX2;ABCC1;PRDX4;HHEX;PTPA;FES;PFKP
prerank,MSigDB_Hallmark_2020__Fatty Acid Metabolism,-0.3028154679239857,-1.0454582603093565,0.3479020979020979,0.4512300017202821,1.0,24/134,8.40%,PTPRG;ACSS1;REEP6;PDHA1;ACSL4;ENO3;MAOA;ALDH3A2;HCCS;BLVRA;LGALS1;ACAA1;CA2;CRAT;ADIPOR2;PSME1;HSPH1;CA4;NCAPH2;UROD;DECR1;NTHL1;HADH;PCBD1
prerank,MSigDB_Hallmark_2020__UV Response Up,0.2834108352924583,1.0442340070496443,0.37354988399071926,0.36964612690072446,0.999,24/137,11.39%,ICAM1;HMOX1;COL2A1;NPTX2;APOM;GPX3;CDO1;GAL;NFKBIA;TYRO3;SOD2;CHKA;CDKN2B;CXCL2;DLG4;ALAS1;CNP;CYP1A1;FEN1;HSPA13;CASP3;ASNS;BSG;NXF1
prerank,MSigDB_Hallmark_2020__E2F Targets,-0.27611424380462757,-1.0143503692214668,0.43256578947368424,0.5015441580038174,1.0,51/198,20.44%,CDC25B;KIF22;CDKN3;RNASEH2A;CDC20;DCK;CDK1;CKS1B;CDKN2C;TACC3;AURKB;E2F8;UBE2S;RPA1;AK2;DLGAP5;DIAPH3;PLK1;TUBB;GINS1;CDKN1B;RAD21;CKS2;DCTPP1;PRPS1;SNRPB;PRDX4;MXD3;CDCA3;SMC1A;IPO7;NCAPD2;MCM7;DNMT1;ASF1B;KIF4A;WEE1;MYBL2;LBR;ANP32E;KIF2C;POLD1;PCNA;RACGAP1;SPC24;DDX39A;CCP110;PPP1R8;SUV39H1;PTTG1;ATAD2
prerank,MSigDB_Hallmark_2020__Androgen Response,-0.28522144428593516,-0.9451834286871278,0.555366269165247,0.6489764321348701,1.0,15/90,11.10%,KRT19;RPS6KA3;KRT8;TSC22D1;ARID5B;H1-0;SCD;ZMIZ1;CCND1;INSIG1;ELL2;NCOA4;SLC38A2;SMS;CCND3
prerank,MSigDB_Hallmark_2020__Hedgehog Signaling,-0.35881197400198317,-0.939839199160686,0.5439252336448598,0.6338491686549638,1.0,4/24,9.42%,MYH9;TLE1;NRP1;NRP2
prerank,MSigDB_Hallmark_2020__Notch Signaling,0.33356965210845607,0.9190432032394129,0.5704989154013015,0.6466204919990447,1.0,5/29,5.21%,WNT5A;NOTCH3;MAML2;FZD7;TCF7L2
prerank,MSigDB_Hallmark_2020__DNA Repair,-0.25386118034661426,-0.8974828207413654,0.6974789915966386,0.7056382246688457,1.0,41/145,22.30%,ADA;ZWINT;NPR2;ARL6IP1;MPG;POLH;BOLA2;DAD1;DGCR8;APRT;GUK1;GTF2H1;TAF12;AK1;TAF6;NELFB;POLR1D;USP11;RBX1;POLA1;PDE4B;RFC4;GTF2F1;POLD1;PCNA;TSG101;BCAP31;ADRM1;CDA;COX17;ITPA;EDF1;BCAM;GSDME;POM121;RRM2B;POLR3C;ERCC5;NME3;CSTF3;RFC2
prerank,MSigDB_Hallmark_2020__Spermatogenesis,-0.2082632980673374,-0.6719338212570882,0.9776632302405498,0.9816617925339756,1.0,5/80,5.52%,NEK2;NF2;GSTM3;CDKN3;CDK1
